Group,tree,C13,C,N15,Ni,CN,date,position,canopy
High Exposed,1,-27.42,47.9522291,-6.17,0.569071207,84.26402263,5/26/2021,high,exposed
High Exposed,2,-25.49,48.95363824,-6.79,0.810335294,60.41158344,5/26/2021,high,exposed
High Exposed,3,-26.25,48.82585071,-6.71,0.689004739,70.86431765,5/26/2021,high,exposed
High Exposed,4,-27.04,48.92258707,-6.45,0.478787313,102.1802076,5/26/2021,high,exposed
High Exposed,5,-25.26,48.66301461,-4.13,0.822083863,59.19470849,5/26/2021,high,exposed
Low Closed Canopy,6,-27.58,47.99251307,-5.73,0.766246368,62.6332666,5/26/2021,low,closed
Low Closed Canopy,7,-28.05,47.74954176,-6.48,0.783236659,60.96438569,5/26/2021,low,closed
Low Closed Canopy,8,-27.76,48.47853527,-5.79,0.768805461,63.0569601,5/26/2021,low,closed
Low Closed Canopy,9,-29.29,48.91908872,-6.06,0.553466731,88.38668339,5/26/2021,low,closed
Low Closed Canopy,10,-29.29,48.29896633,-4.98,0.496262626,97.32541556,5/26/2021,low,closed
High Closed Canopy,11,-28.28,48.49820513,-5.84,0.529268293,91.63255347,5/26/2021,high,closed
High Closed Canopy,12,-28.19,47.90162071,-4.54,0.756274378,63.33894432,5/26/2021,high,closed
High Closed Canopy,13,-27.85,49.00346032,-4.06,0.735219048,66.65151083,5/26/2021,high,closed
High Closed Canopy,14,-27.2,48.30168858,-6.01,0.557460208,86.64598463,5/26/2021,high,closed
High Closed Canopy,15,-26.84,47.96138173,-4.55,0.791048206,60.63016305,5/26/2021,high,closed
High Exposed,1,-26.24,50.15657432,-6.39,0.834405405,60.11055777,9/29/2021,high,exposed
High Exposed,2,-24.67,50.34378378,-5.28,1.059433092,47.51955002,9/29/2021,high,exposed
High Exposed,3,-26.35,50.01813245,-6.91,0.79620883,62.82036895,9/29/2021,high,exposed
High Exposed,4,-26.92,50.42738591,-6.38,0.650496644,77.5213621,9/29/2021,high,exposed
High Exposed,5,-25.59,50.31239162,-5.03,0.865556358,58.1272278,9/29/2021,high,exposed
Low Closed Canopy,6,-28.67,49.73279485,-5.78,0.798313081,62.29735683,9/29/2021,low,closed
Low Closed Canopy,7,-28.53,50.50009761,-5.49,0.752607053,67.10021838,9/29/2021,low,closed
Low Closed Canopy,8,-27.81,49.36217887,-6.06,0.975108043,50.62226613,9/29/2021,low,closed
Low Closed Canopy,9,-29.42,50.25843972,-4.98,0.634007092,79.27110017,9/29/2021,low,closed
Low Closed Canopy,10,-29.5,49.57107405,-5.64,0.790491202,62.70920397,9/29/2021,low,closed
High Closed Canopy,11,-28.82,50.05552557,-6.18,0.637482955,78.52057096,9/29/2021,high,closed
High Closed Canopy,12,-29.46,50.04827124,-4.88,0.786901961,63.60166035,9/29/2021,high,closed
High Closed Canopy,13,-27.87,50.77445331,-4.04,0.76358156,66.49512763,9/29/2021,high,closed
High Closed Canopy,14,-28.23,50.12842449,-4.25,0.685562461,73.12014197,9/29/2021,high,closed
High Closed Canopy,15,-27.23,50.77651613,-4.83,0.833187097,60.94251378,9/29/2021,high,closed
